Part;Value;Device;Package
C1;100n;C-EU050-025X075;C050-025X075
C2;100u;CPOL-USE2.5-6;E2,5-6
C3;100p;C-EU050-025X075;C050-025X075
C4;47u;CPOL-USE2.5-6;E2,5-6
C5;47u;CPOL-USE2.5-6;E2,5-6
C6;220p;C-EU050-025X075;C050-025X075
C7;100n;C-EU050-025X075;C050-025X075
C8;100u;CPOL-USE2.5-6;E2,5-6
C9;100n;C-EU050-025X075;C050-025X075
C10;100n;C-EU050-025X075;C050-025X075
C11;4n7;C-EU050-025X075;C050-025X075
C12;4n7;C-EU050-025X075;C050-025X075
C13;100n;C-EU050-025X075;C050-025X075
C14;100n;C-EU050-025X075;C050-025X075
C16;10n;C-EU050-025X075;C050-025X075
C17;10n;C-EU050-025X075;C050-025X075
C19;1u;C-EU050-055X075;C050-055X075
C20;1u;C-EU050-055X075;C050-055X075
C21;10u;CPOL-USE2.5-6;E2,5-6
C22;1u;C-EU050-055X075;C050-055X075
C25;4u7;CPOL-USE2.5-6;E2,5-6
D1;;DO41.3;DO41-3
D2;LED.3;LED.3;3MM_2
D3;LED.3;LED.3;3MM_2
D4;LED.3;LED.3;3MM_2
IC1;TLC2272;TL072P;DIL08
IC2;LM78L05;LM78L.;TO92
IC3;ES56033;ES56033;DIP16
IC4;LM4558N;LM4558N;DIL08
LDR1;;LDR1;LDR1
MIX;B50k;16MM.1;16MM_B.MOUNT
Q1;2N5088;2N5088;TO92
R1;1M;R-US_0204/7;0204/7
R2;RLED;R-US_0204/7;0204/7
R3;100k;R-US_0204/7;0204/7
R4;10k;R-US_0204/7;0204/7
R5;10k;R-US_0204/7;0204/7
R6;100k;R-US_0204/7;0204/7
R7;1k8;R-US_0204/7;0204/7
R8;220k;R-US_0204/7;0204/7
R9;220k;R-US_0204/7;0204/7
R10;220k;R-US_0204/7;0204/7
R11;10k;R-US_0204/7;0204/7
R12;10k;R-US_0204/7;0204/7
R13;10k;R-US_0204/7;0204/7
R14;10k;R-US_0204/7;0204/7
R16;1k;R-US_0204/7;0204/7
R17;10k;R-US_0204/7;0204/7
R18;2k2;R-US_0204/7;0204/7
R19;4k7;R-US_0204/7;0204/7
R20;1k;R-US_0204/7;0204/7
R21;1k;R-US_0204/7;0204/7
R22;22k;R-US_0204/7;0204/7
R24;470R;R-US_0204/7;0204/7
R26;100k;R-US_0204/7;0204/7
R27;120R;R-US_0204/7;0204/7
R28;47R;R-US_0204/7;0204/7
R29;220k;R-US_0204/7;0204/7
R30;4k7;R-US_0204/7;0204/7
R31;10k;R-US_0204/7;0204/7
R32;820R;R-US_0204/7;0204/7
SHAPE;B500k;16MM.1;16MM_B.MOUNT
SPEED;B100k;16MM.1;16MM_B.MOUNT
TONE;B10k;16MM.1;16MM_B.MOUNT
T_DEPTH;B1k;16MM.1;16MM_B.MOUNT
V_DEPTH;A1k;16MM.1;16MM_B.MOUNT
